,GRID_CODE,NLCD,B18,B25,B30,B35,B40,B45,B53,B58,B66,B73,B81,B100,B123,B137,B145,B164,B174,B181,B187,B227,B233,B241,B247,B254,B261,B270,B331,B345,B356,B367,B380,B389
0,16438,DHI,0.0126,0.0135,0.0204,0.0315,0.0256,0.0205,0.0159,0.0112,0.049,0.2367,0.3149,0.3412,0.33,0.3638,0.3432,0.2809,0.3063,0.3126,0.284,0.0736,0.095,0.1122,0.134,0.1396,0.1413,0.1235,0.0269,0.0405,0.0479,0.0565,0.0441,0.036
1,20534,DHI,0.0034,0.0016,0.0026,0.0039,0.0016,0.0011,0.0001,0.0,0.0039,0.0684,0.1098,0.1256,0.1187,0.1376,0.1333,0.0932,0.1076,0.1115,0.0971,0.0118,0.0173,0.0243,0.0301,0.0341,0.0341,0.0285,0.0029,0.0058,0.0075,0.0097,0.0069,0.005
2,23494,DHI,0.0764,0.0756,0.0732,0.0765,0.0763,0.0764,0.0769,0.0771,0.0755,0.0745,0.0771,0.076,0.0767,0.0753,0.0721,0.0756,0.0776,0.0784,0.0766,0.0732,0.0756,0.0745,0.0772,0.0748,0.077,0.0756,0.0706,0.0723,0.0737,0.0717,0.0686,0.065
3,3462,DHI,0.0133,0.0138,0.0315,0.0472,0.0399,0.032,0.0222,0.0133,0.079,0.2597,0.3334,0.3626,0.3522,0.3904,0.3631,0.2924,0.3243,0.3296,0.2882,0.0716,0.0951,0.1193,0.1386,0.1463,0.1476,0.1285,0.0256,0.0417,0.0508,0.0567,0.0436,0.0357
4,35526,DHI,0.035,0.0399,0.0609,0.0822,0.0785,0.0731,0.0692,0.0624,0.1364,0.279,0.3289,0.3734,0.3979,0.4353,0.4203,0.3873,0.4229,0.4296,0.4002,0.173,0.2075,0.2348,0.2669,0.2766,0.284,0.2567,0.1044,0.12,0.1372,0.1472,0.1202,0.1018
5,29442,DHI,0.024,0.0294,0.0299,0.0356,0.041,0.0464,0.0593,0.069,0.0855,0.1027,0.1251,0.1752,0.2224,0.2493,0.2581,0.2751,0.2949,0.3108,0.3153,0.2395,0.2529,0.2593,0.2808,0.2845,0.2845,0.2629,0.1804,0.1729,0.173,0.1858,0.1528,0.1408
6,3330,DHI,0.0194,0.0188,0.0291,0.0424,0.033,0.0265,0.0207,0.0147,0.061,0.3039,0.3989,0.4302,0.4173,0.4631,0.4345,0.3528,0.3815,0.3868,0.3492,0.1014,0.1315,0.1577,0.1805,0.1872,0.1927,0.1706,0.0394,0.0588,0.0688,0.0785,0.065,0.0519
7,54466,DHI,0.0561,0.0637,0.0782,0.0956,0.0963,0.0968,0.1034,0.1061,0.1551,0.2556,0.2931,0.3298,0.3582,0.385,0.3768,0.3794,0.4069,0.4179,0.4034,0.2538,0.286,0.3066,0.3388,0.3484,0.3545,0.3295,0.1861,0.19,0.2083,0.2226,0.1785,0.1601
8,66,DHI,0.0136,0.0128,0.0226,0.0333,0.0269,0.0211,0.0169,0.0131,0.0565,0.2785,0.3788,0.4098,0.4008,0.4495,0.4238,0.336,0.3709,0.375,0.338,0.0911,0.1166,0.1392,0.1614,0.1689,0.1714,0.1499,0.0324,0.0488,0.0588,0.0671,0.0534,0.0412
9,28738,DHI,0.0276,0.029,0.045,0.0657,0.0535,0.0439,0.0356,0.0287,0.0919,0.4271,0.5812,0.6266,0.5994,0.6604,0.6195,0.4892,0.5395,0.5416,0.4831,0.1379,0.1782,0.2153,0.2482,0.2584,0.2627,0.2276,0.0563,0.0841,0.0971,0.1082,0.0856,0.0692
