,GRID_CODE,NLCD,B18,B25,B30,B35,B40,B45,B53,B58,B66,B73,B81,B100,B123,B137,B145,B164,B174,B181,B187,B227,B233,B241,B247,B254,B261,B270,B331,B345,B356,B367,B380,B389
0,70072,EF,0.0198,0.0203,0.0454,0.0729,0.0594,0.047,0.035,0.0222,0.1206,0.3941,0.4708,0.5093,0.5097,0.5485,0.5201,0.4516,0.4893,0.4924,0.4496,0.1539,0.1938,0.227,0.2564,0.2656,0.2719,0.2416,0.0648,0.0926,0.1087,0.1209,0.0962,0.0799
1,70077,EF,0.0203,0.023,0.0433,0.0666,0.0558,0.0461,0.0363,0.0264,0.1086,0.341,0.4079,0.4501,0.4621,0.5012,0.4785,0.4232,0.46,0.4647,0.4275,0.1552,0.1929,0.2248,0.2523,0.2613,0.2668,0.2383,0.0698,0.0959,0.1121,0.1247,0.0982,0.0806
2,70075,EF,0.0187,0.0206,0.04,0.0602,0.0514,0.0416,0.0336,0.0247,0.098,0.2956,0.3543,0.388,0.3884,0.4334,0.4126,0.3433,0.3762,0.383,0.3452,0.1087,0.1394,0.1651,0.1912,0.1992,0.2036,0.1808,0.0498,0.0679,0.0806,0.0891,0.0713,0.0579
3,70076,EF,0.0159,0.0162,0.032,0.0506,0.0412,0.0324,0.0248,0.017,0.0845,0.3061,0.378,0.421,0.4188,0.4632,0.4375,0.3621,0.3978,0.4037,0.3619,0.1167,0.1473,0.1737,0.1976,0.2056,0.2106,0.1853,0.0467,0.069,0.0809,0.0904,0.0707,0.0586
4,70074,EF,0.023,0.0236,0.0435,0.0657,0.0535,0.0438,0.0344,0.0257,0.1059,0.4022,0.5033,0.5521,0.5372,0.5945,0.5576,0.4537,0.4944,0.4986,0.4464,0.1383,0.1781,0.211,0.2417,0.2507,0.256,0.2272,0.0562,0.0832,0.0972,0.109,0.0886,0.0715
5,70078,EF,0.0131,0.0132,0.0238,0.0361,0.0286,0.0227,0.0168,0.0129,0.0586,0.3006,0.406,0.4484,0.428,0.4781,0.4487,0.3512,0.384,0.386,0.345,0.0954,0.1248,0.1502,0.1738,0.1808,0.1836,0.1602,0.035,0.0554,0.0668,0.075,0.0594,0.048
6,70079,EF,0.017,0.0174,0.0304,0.0481,0.0371,0.0283,0.022,0.0171,0.0799,0.3817,0.4989,0.5338,0.5117,0.5577,0.5207,0.4323,0.4693,0.4685,0.4236,0.1348,0.1743,0.2051,0.2322,0.24,0.2445,0.2141,0.053,0.0784,0.0911,0.102,0.0825,0.0656
7,70082,EF,0.015,0.0146,0.0224,0.0336,0.0263,0.0219,0.0182,0.014,0.0517,0.2666,0.3656,0.399,0.3886,0.4252,0.4023,0.3256,0.3588,0.3627,0.3261,0.0814,0.105,0.1258,0.1465,0.1524,0.1547,0.133,0.0301,0.0405,0.0456,0.0526,0.0413,0.0346
8,70080,EF,0.0144,0.0131,0.0207,0.0295,0.0239,0.019,0.0158,0.0135,0.0451,0.2591,0.3668,0.3972,0.386,0.4248,0.403,0.3224,0.3566,0.3614,0.3253,0.0795,0.1033,0.1241,0.1449,0.1517,0.1522,0.1326,0.0278,0.04,0.0461,0.0518,0.0393,0.0321
9,70083,EF,0.0121,0.0115,0.0168,0.0251,0.02,0.0154,0.0128,0.0094,0.036,0.2308,0.3382,0.3676,0.3588,0.3961,0.3763,0.2965,0.3296,0.3368,0.3014,0.0711,0.0926,0.1136,0.1328,0.1401,0.1422,0.1226,0.025,0.0373,0.0439,0.0515,0.0396,0.0312
