,GRID_CODE,NLCD,B18,B25,B30,B35,B40,B45,B53,B58,B66,B73,B81,B100,B123,B137,B145,B164,B174,B181,B187,B227,B233,B241,B247,B254,B261,B270,B331,B345,B356,B367,B380,B389
0,70034,OW,0.0124,0.0113,0.0162,0.0246,0.0193,0.0154,0.0122,0.0095,0.0396,0.2214,0.3138,0.3573,0.3578,0.4031,0.3851,0.3142,0.3509,0.3593,0.3221,0.0775,0.1012,0.1253,0.1467,0.156,0.1583,0.1353,0.0289,0.0421,0.0496,0.0586,0.0445,0.0354
1,70047,OW,0.0151,0.0147,0.0246,0.0358,0.029,0.0235,0.0194,0.0147,0.0545,0.2456,0.3347,0.3684,0.3557,0.4025,0.3794,0.2932,0.332,0.3384,0.3026,0.0735,0.0967,0.1151,0.1341,0.1416,0.1436,0.1223,0.0322,0.0424,0.0491,0.0581,0.0442,0.0371
2,70035,OW,0.0166,0.0157,0.0236,0.0347,0.0278,0.0224,0.0185,0.0159,0.0505,0.2677,0.3718,0.4083,0.4035,0.4439,0.4243,0.3486,0.3879,0.3957,0.3566,0.0927,0.1209,0.1447,0.1673,0.1777,0.1782,0.153,0.0342,0.049,0.0566,0.0641,0.0503,0.0415
3,70033,OW,0.0113,0.0101,0.0171,0.0265,0.0202,0.0151,0.0115,0.0097,0.04,0.2255,0.3138,0.3465,0.3439,0.3807,0.3582,0.2901,0.3226,0.3301,0.297,0.0701,0.0917,0.1104,0.1304,0.1375,0.1388,0.117,0.0238,0.0348,0.0415,0.0493,0.0354,0.0284
4,70036,OW,0.0221,0.0219,0.0416,0.0662,0.0524,0.0402,0.0304,0.0222,0.1042,0.4208,0.5331,0.5834,0.5762,0.6294,0.5958,0.497,0.545,0.5505,0.4946,0.1457,0.189,0.2263,0.2602,0.2711,0.2756,0.2407,0.0546,0.0834,0.0976,0.1108,0.0864,0.0701
5,70044,OW,0.0243,0.0267,0.0434,0.064,0.0538,0.0434,0.0348,0.0257,0.0947,0.3521,0.4505,0.492,0.4776,0.5271,0.4885,0.3998,0.4407,0.4447,0.3915,0.1063,0.1399,0.1686,0.1977,0.2074,0.2115,0.1835,0.0392,0.0613,0.0746,0.0845,0.0675,0.0544
6,70046,OW,0.0169,0.0157,0.0301,0.0447,0.0377,0.0282,0.0225,0.0151,0.0722,0.2848,0.3683,0.414,0.41,0.4528,0.4223,0.3465,0.3787,0.3841,0.344,0.099,0.1284,0.151,0.1745,0.181,0.1845,0.1608,0.0392,0.0594,0.0685,0.0762,0.0626,0.0516
7,70048,OW,0.0105,0.0108,0.0188,0.0299,0.0221,0.0159,0.0123,0.0092,0.046,0.2466,0.3337,0.3649,0.3571,0.3956,0.3761,0.303,0.3342,0.3401,0.3047,0.0801,0.105,0.1255,0.1455,0.1519,0.1549,0.1356,0.0314,0.0446,0.0529,0.0621,0.0488,0.0395
8,70045,OW,0.0155,0.0152,0.028,0.039,0.0321,0.0253,0.0195,0.015,0.0635,0.2324,0.2939,0.323,0.3248,0.3541,0.334,0.288,0.3143,0.3193,0.2892,0.1033,0.1296,0.1502,0.1704,0.1752,0.1788,0.1598,0.0502,0.0663,0.077,0.0846,0.0674,0.0569
9,70043,OW,0.017,0.0182,0.0312,0.0485,0.0392,0.0313,0.0251,0.0184,0.077,0.3446,0.4538,0.4905,0.4687,0.5135,0.4788,0.392,0.4303,0.4367,0.3888,0.1042,0.1373,0.164,0.1892,0.2004,0.2009,0.1746,0.0391,0.0578,0.0682,0.0775,0.0608,0.0497
