,GRID_CODE,NLCD,B18,B25,B30,B35,B40,B45,B53,B58,B66,B73,B81,B100,B123,B137,B145,B164,B174,B181,B187,B227,B233,B241,B247,B254,B261,B270,B331,B345,B356,B367,B380,B389
0,2596,SS,0.025,0.0267,0.0338,0.0432,0.0404,0.0375,0.0352,0.0295,0.0671,0.1679,0.2105,0.2371,0.2426,0.2737,0.2579,0.2315,0.2638,0.2699,0.2445,0.1163,0.1382,0.1526,0.1699,0.1765,0.1777,0.1573,0.0855,0.0932,0.1007,0.1069,0.0861,0.0754
1,1442,SS,0.0137,0.0158,0.0357,0.0571,0.0461,0.0357,0.0274,0.017,0.088,0.3946,0.5063,0.5354,0.5052,0.5528,0.5245,0.4151,0.452,0.4548,0.4112,0.101,0.1332,0.1617,0.1875,0.1961,0.2005,0.1753,0.0329,0.053,0.064,0.0732,0.0579,0.0456
2,1250,SS,0.0183,0.0187,0.0335,0.0502,0.0403,0.0329,0.0268,0.0196,0.0847,0.4035,0.5319,0.5611,0.5554,0.6121,0.5719,0.4719,0.519,0.5216,0.4682,0.1424,0.182,0.2165,0.2464,0.2567,0.2608,0.228,0.0568,0.0829,0.0976,0.1095,0.086,0.0691
3,1122,SS,0.0076,0.0063,0.0119,0.0173,0.012,0.0088,0.0054,0.0039,0.03,0.19,0.2614,0.2876,0.2833,0.3233,0.3075,0.24,0.2725,0.2789,0.2467,0.058,0.0777,0.0974,0.1119,0.1189,0.1249,0.1061,0.0204,0.0331,0.0404,0.0463,0.0353,0.0301
4,3206,SS,0.0115,0.0103,0.0223,0.035,0.0263,0.0218,0.0155,0.0098,0.0589,0.2794,0.3796,0.4308,0.4187,0.4728,0.4434,0.3374,0.3773,0.3821,0.3317,0.0768,0.1029,0.1262,0.1475,0.1567,0.1599,0.1378,0.0266,0.0429,0.0528,0.0589,0.0473,0.0379
5,1158,SS,0.0305,0.0347,0.0524,0.0718,0.0665,0.0596,0.0556,0.0504,0.1145,0.2709,0.3189,0.3557,0.3722,0.4042,0.3913,0.3574,0.3841,0.3943,0.3686,0.1486,0.1792,0.2039,0.234,0.2451,0.2508,0.2288,0.0875,0.1029,0.1168,0.1276,0.102,0.0885
6,1330,SS,0.0382,0.0443,0.0581,0.074,0.0734,0.0733,0.076,0.0736,0.1201,0.2046,0.2337,0.2633,0.2831,0.3043,0.2991,0.298,0.3166,0.3262,0.3159,0.2009,0.2262,0.2433,0.2699,0.2769,0.2846,0.2691,0.1496,0.1535,0.1708,0.1847,0.1487,0.1315
7,1154,SS,0.0092,0.0087,0.0167,0.0272,0.0203,0.0156,0.011,0.0075,0.0414,0.236,0.3226,0.3533,0.3391,0.3784,0.3543,0.2723,0.3026,0.3071,0.2667,0.0626,0.0839,0.1033,0.1211,0.1272,0.1298,0.1115,0.0219,0.0349,0.0412,0.0477,0.0387,0.0293
8,34946,SS,0.0278,0.0292,0.0429,0.0583,0.0529,0.0485,0.0468,0.0398,0.0911,0.2279,0.276,0.3107,0.3183,0.3545,0.3391,0.2925,0.3223,0.3329,0.3024,0.1083,0.1327,0.1528,0.176,0.1839,0.1887,0.1712,0.0586,0.0686,0.0799,0.0899,0.07,0.0583
9,2178,SS,0.0217,0.0219,0.0339,0.0494,0.0407,0.0331,0.0281,0.0224,0.0741,0.3337,0.4388,0.4811,0.4762,0.527,0.4962,0.4077,0.4502,0.4552,0.4074,0.1239,0.1601,0.1918,0.2191,0.2286,0.233,0.2032,0.0522,0.0741,0.0874,0.0974,0.0749,0.0631
10,2050,SS,0.0158,0.0145,0.0291,0.0457,0.0361,0.0277,0.022,0.0144,0.0761,0.3233,0.4229,0.4717,0.4663,0.5174,0.4851,0.403,0.4464,0.4513,0.401,0.1201,0.1571,0.1865,0.2158,0.2244,0.2277,0.2009,0.0462,0.0682,0.0825,0.094,0.0733,0.0583
11,7298,SS,0.0223,0.022,0.0426,0.0648,0.0531,0.0429,0.034,0.0238,0.1076,0.3973,0.5044,0.5547,0.5348,0.5947,0.5586,0.4454,0.4873,0.4891,0.433,0.1233,0.1613,0.1935,0.2223,0.231,0.2386,0.211,0.0475,0.0723,0.0859,0.0969,0.0786,0.0625
12,59394,SS,0.0266,0.0321,0.065,0.0968,0.0848,0.0714,0.0579,0.041,0.1392,0.3625,0.432,0.4894,0.5034,0.5528,0.5239,0.4583,0.4984,0.5078,0.4557,0.1599,0.2024,0.2354,0.2702,0.2816,0.2916,0.2625,0.0751,0.1047,0.1244,0.1365,0.1103,0.0911
13,59778,SS,0.0201,0.0198,0.0377,0.0616,0.048,0.0371,0.0265,0.0186,0.101,0.4567,0.6001,0.6521,0.6235,0.6881,0.6423,0.5109,0.559,0.5604,0.4973,0.1431,0.185,0.2201,0.2523,0.2634,0.2683,0.2352,0.0535,0.0797,0.094,0.1077,0.0861,0.0683
14,31362,SS,0.0179,0.0186,0.0295,0.0447,0.0355,0.0286,0.0223,0.0167,0.0691,0.3225,0.4384,0.4786,0.4559,0.5105,0.4824,0.3681,0.4082,0.4101,0.3566,0.0946,0.1243,0.1503,0.1726,0.1816,0.1867,0.163,0.0348,0.0542,0.0658,0.073,0.0591,0.0467
15,25218,SS,0.0203,0.0201,0.0341,0.0504,0.0404,0.0323,0.026,0.0206,0.0784,0.3875,0.5328,0.5895,0.5758,0.6452,0.6056,0.4812,0.5317,0.5362,0.475,0.1336,0.1756,0.2111,0.2436,0.2535,0.2578,0.2265,0.0521,0.0784,0.0918,0.1027,0.0827,0.069
